"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Aug 12 03:59:17 UTC 2023","Sat Aug 12 03:59:18 UTC 2023","1007","","20. Admin Portal - Check details","","","","7. Check Current Settings",""
"passed","Sat Aug 12 03:15:41 UTC 2023","Sat Aug 12 03:16:02 UTC 2023","21260","","12. Client Portal - Forms","","","","1. Direct user to “Forms” page",""
"passed","Sat Aug 12 02:58:01 UTC 2023","Sat Aug 12 02:58:35 UTC 2023","34700","","8. Sign Up new user","","","","1. Create a new user",""
"passed","Sat Aug 12 02:15:08 UTC 2023","Sat Aug 12 02:15:18 UTC 2023","9970","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","3. Create new Individual investment account",""
"passed","Sat Aug 12 03:16:03 UTC 2023","Sat Aug 12 03:16:16 UTC 2023","12147","","12. Client Portal - Forms","","","","3. Expand Superannuation Forms",""
"passed","Sat Aug 12 03:56:34 UTC 2023","Sat Aug 12 03:56:36 UTC 2023","2474","","19. Look Up Investment Account","","","","3. Search Account ID 445",""
"passed","Sat Aug 12 03:59:16 UTC 2023","Sat Aug 12 03:59:17 UTC 2023","1088","","20. Admin Portal - Check details","","","","6. Check Account Settings & History (Data Snapshots)",""
"passed","Sat Aug 12 03:08:57 UTC 2023","Sat Aug 12 03:08:58 UTC 2023","1190","","10. Client Portal - Account Dashboard","","","","6. Expand Ethics/Exclusions",""
"passed","Sat Aug 12 04:07:03 UTC 2023","Sat Aug 12 04:07:05 UTC 2023","2292","","22. Individual Onboarding for Interactive Brokers","","","","12. Check Final Review",""
"passed","Sat Aug 12 02:31:02 UTC 2023","Sat Aug 12 02:31:09 UTC 2023","7485","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","2. Create a SMSF Account",""
"passed","Sat Aug 12 02:27:17 UTC 2023","Sat Aug 12 02:27:17 UTC 2023","355","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","8. Navigate to Insurance Quote",""
"passed","Sat Aug 12 03:56:24 UTC 2023","Sat Aug 12 03:56:34 UTC 2023","9742","","19. Look Up Investment Account","","","","2. Direct to Investment Account Search",""
"passed","Sat Aug 12 03:59:02 UTC 2023","Sat Aug 12 03:59:02 UTC 2023","423","","20. Admin Portal - Check details","","","","3. Check panels existence",""
"passed","Sat Aug 12 02:51:38 UTC 2023","Sat Aug 12 02:51:42 UTC 2023","4534","","6. Company Account","","","","5. Complete Screen and tilts",""
"passed","Sat Aug 12 02:15:59 UTC 2023","Sat Aug 12 02:16:09 UTC 2023","9579","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","7. Complete Screen and Tilts",""
"passed","Sat Aug 12 03:33:31 UTC 2023","Sat Aug 12 03:33:49 UTC 2023","17420","","13. Client Portal - Change Portfolio","","","","1. Direct user to “Your Account(s)” page",""
"passed","Sat Aug 12 02:17:48 UTC 2023","Sat Aug 12 02:17:52 UTC 2023","4060","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","11. Scrape results from Review and navigate to Applicants",""
"passed","Sat Aug 12 04:16:57 UTC 2023","Sat Aug 12 04:17:06 UTC 2023","9502","","23. Change Portfolio for Interactive Brokers","","","","4. Complete Risk Profile",""
"passed","Sat Aug 12 03:42:49 UTC 2023","Sat Aug 12 03:42:52 UTC 2023","2619","","16. Nucleus Wealth Wordpress Site","","","","4. Visit Superannuation",""
"broken","Sat Aug 12 03:25:24 UTC 2023","Sat Aug 12 03:25:24 UTC 2023","2","","13. Client Portal - Change Portfolio","","","","1. Direct user to “Your Account(s)” page",""
